,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,1654,2339,-1,
1,2,1,1,0,0,0,118,122,891,196,-1,
2,3,1,1,1,0,0,118,122,891,196,-1,
3,4,1,1,1,1,0,118,122,891,89,-1,
4,5,1,1,1,1,1,118,122,424,89,93,nightingale
5,5,1,1,1,1,2,561,124,448,63,93,hammerson
6,4,1,1,1,2,0,119,258,702,60,-1,
7,5,1,1,1,2,1,119,258,238,60,95,Hospital
8,5,1,1,1,2,2,377,258,226,47,96,Medical
9,5,1,1,1,2,3,623,260,198,58,95,Report
10,2,1,2,0,0,0,119,357,711,25,-1,
11,3,1,2,1,0,0,119,357,711,25,-1,
12,4,1,2,1,1,0,119,357,711,25,-1,
13,5,1,2,1,1,1,119,357,51,19,96,This
14,5,1,2,1,1,2,179,357,57,19,96,form
15,5,1,2,1,1,3,244,357,17,19,96,is
16,5,1,2,1,1,4,269,359,21,17,96,to
17,5,1,2,1,1,5,300,358,26,18,96,be
18,5,1,2,1,1,6,334,357,120,25,96,completed
19,5,1,2,1,1,7,464,358,27,24,96,by
20,5,1,2,1,1,8,499,358,36,18,93,the
21,5,1,2,1,1,9,543,357,102,25,92,patient’s
22,5,1,2,1,1,10,654,357,92,25,96,hospital
23,5,1,2,1,1,11,754,358,76,18,96,doctor
24,2,1,3,0,0,0,119,423,403,32,-1,
25,3,1,3,1,0,0,119,423,403,32,-1,
26,4,1,3,1,1,0,119,423,403,32,-1,
27,5,1,3,1,1,1,119,425,123,30,93,Private
28,5,1,3,1,1,2,257,424,32,30,93,&
29,5,1,3,1,1,3,302,423,220,32,96,Confidential
30,2,1,4,0,0,0,103,496,1450,4,-1,
31,3,1,4,1,0,0,103,496,1450,4,-1,
32,4,1,4,1,1,0,103,496,1450,4,-1,
33,5,1,4,1,1,1,103,496,1450,4,95, 
34,2,1,5,0,0,0,119,503,1239,20,-1,
35,3,1,5,1,0,0,119,503,1239,20,-1,
36,4,1,5,1,1,0,119,503,1239,20,-1,
37,5,1,5,1,1,1,119,504,95,19,92,Patient’s
38,5,1,5,1,1,2,223,505,64,18,96,Name
39,5,1,5,1,1,3,1218,505,38,18,96,Date
40,5,1,5,1,1,4,1258,503,41,20,96,of
41,5,1,5,1,1,5,1306,504,52,19,96,birth
42,2,1,6,0,0,0,1201,497,2,67,-1,
43,3,1,6,1,0,0,1201,497,2,67,-1,
44,4,1,6,1,1,0,1201,497,2,67,-1,
45,5,1,6,1,1,1,1201,497,2,67,95, 
46,2,1,7,0,0,0,103,562,1450,3,-1,
