,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,1695,2194,-1,
1,2,1,1,0,0,0,159,2,408,20,-1,
2,3,1,1,1,0,0,159,2,408,20,-1,
3,4,1,1,1,1,0,159,2,408,20,-1,
4,5,1,1,1,1,1,159,2,253,20,90,CareContinuum
5,5,1,1,1,1,2,435,12,15,2,41,—-
6,5,1,1,1,1,3,472,2,95,20,91,PAHub
7,2,1,2,0,0,0,208,218,161,71,-1,
8,3,1,2,1,0,0,208,218,161,71,-1,
9,4,1,2,1,1,0,208,218,161,71,-1,
10,5,1,2,1,1,1,208,218,161,71,94,Fax
11,2,1,3,0,0,0,184,332,1253,6,-1,
12,3,1,3,1,0,0,184,332,1253,6,-1,
13,4,1,3,1,1,0,184,332,1253,6,-1,
14,5,1,3,1,1,1,184,332,1253,6,95, 
15,2,1,4,0,0,0,200,381,698,21,-1,
16,3,1,4,1,0,0,200,381,698,21,-1,
17,4,1,4,1,1,0,200,381,698,21,-1,
18,5,1,4,1,1,1,200,381,38,21,93,To:
19,5,1,4,1,1,2,827,381,71,21,94,From:
20,2,1,5,0,0,0,180,442,1261,11,-1,
21,3,1,5,1,0,0,180,442,1261,11,-1,
22,4,1,5,1,1,0,180,442,1261,11,-1,
23,5,1,5,1,1,1,180,442,1261,11,95, 
24,2,1,6,0,0,0,201,493,142,21,-1,
25,3,1,6,1,0,0,201,493,142,21,-1,
26,4,1,6,1,1,0,201,493,142,21,-1,
27,5,1,6,1,1,1,201,493,142,21,96,Comments:
28,2,1,7,0,0,0,1435,334,3,441,-1,
29,3,1,7,1,0,0,1435,334,3,441,-1,
30,4,1,7,1,1,0,1435,334,3,441,-1,
31,5,1,7,1,1,1,1435,334,3,441,95, 
32,2,1,8,0,0,0,183,334,4,441,-1,
33,3,1,8,1,0,0,183,334,4,441,-1,
34,4,1,8,1,1,0,183,334,4,441,-1,
35,5,1,8,1,1,1,183,334,4,441,95, 
36,2,1,9,0,0,0,184,771,1253,6,-1,
37,3,1,9,1,0,0,184,771,1253,6,-1,
38,4,1,9,1,1,0,184,771,1253,6,-1,
39,5,1,9,1,1,1,184,771,1253,6,95, 
40,2,1,10,0,0,0,201,855,1292,153,-1,
41,3,1,10,1,0,0,201,855,1292,153,-1,
42,4,1,10,1,1,0,202,855,1282,26,-1,
43,5,1,10,1,1,1,202,855,76,20,96,Please
44,5,1,10,1,1,2,288,857,54,18,96,note
45,5,1,10,1,1,3,351,855,50,20,95,that
46,5,1,10,1,1,4,410,861,42,20,95,you
47,5,1,10,1,1,5,462,861,41,14,96,can
48,5,1,10,1,1,6,513,857,100,24,96,"request,"
49,5,1,10,1,1,7,623,861,76,14,96,renew
50,5,1,10,1,1,8,708,855,43,20,95,and
51,5,1,10,1,1,9,762,855,68,20,96,check
52,5,1,10,1,1,10,839,857,73,18,96,status
53,5,1,10,1,1,11,921,855,25,20,96,of
54,5,1,10,1,1,12,954,855,57,20,96,Prior
55,5,1,10,1,1,13,1020,855,121,26,95,Approvals
56,5,1,10,1,1,14,1151,855,63,26,96,using
57,5,1,10,1,1,15,1223,861,41,14,96,our
58,5,1,10,1,1,16,1272,855,75,20,96,online
59,5,1,10,1,1,17,1357,855,71,20,96,Portal
60,5,1,10,1,1,18,1437,855,47,20,95,tool
61,4,1,10,1,2,0,201,895,1292,29,-1,
62,5,1,10,1,2,1,201,900,22,18,93,at
63,5,1,10,1,2,2,234,895,407,29,88,https://www.express-path.com.
64,5,1,10,1,2,3,656,898,45,20,93,The
65,5,1,10,1,2,4,711,898,149,26,89,ExpressPAth
66,5,1,10,1,2,5,870,900,40,18,90,tool
67,5,1,10,1,2,6,914,898,29,20,90,is
68,5,1,10,1,2,7,952,898,107,20,96,available
69,5,1,10,1,2,8,1068,900,24,18,96,to
70,5,1,10,1,2,9,1103,898,122,26,96,registered
71,5,1,10,1,2,10,1236,904,62,14,95,users
72,5,1,10,1,2,11,1308,898,28,20,96,24
73,5,1,10,1,2,12,1346,898,68,20,95,hours
74,5,1,10,1,2,13,1423,904,12,14,95,a
75,5,1,10,1,2,14,1444,898,49,26,95,"day,"
76,4,1,10,1,3,0,202,940,1273,27,-1,
77,5,1,10,1,3,1,202,940,11,21,95,7
78,5,1,10,1,3,2,223,940,54,27,96,days
79,5,1,10,1,3,3,286,946,12,15,96,a
80,5,1,10,1,3,4,308,940,71,21,95,week.
81,5,1,10,1,3,5,387,940,30,21,96,To
82,5,1,10,1,3,6,427,940,99,27,95,"register,"
83,5,1,10,1,3,7,536,940,78,27,96,simply
84,5,1,10,1,3,8,622,940,76,21,96,follow
85,5,1,10,1,3,9,706,940,40,21,96,the
86,5,1,10,1,3,10,756,940,142,21,96,instructions
87,5,1,10,1,3,11,908,940,58,21,96,after
88,5,1,10,1,3,12,975,940,107,27,96,selecting
89,5,1,10,1,3,13,1090,940,40,21,96,the
90,5,1,10,1,3,14,1140,940,67,21,95,“Click
91,5,1,10,1,3,15,1217,940,54,21,96,here
92,5,1,10,1,3,16,1279,942,24,19,96,to
93,5,1,10,1,3,17,1314,940,110,27,87,Register”
94,5,1,10,1,3,18,1435,940,40,21,94,link
95,4,1,10,1,4,0,202,981,331,27,-1,
96,5,1,10,1,4,1,202,981,18,21,95,in
97,5,1,10,1,4,2,230,981,39,21,96,the
98,5,1,10,1,4,3,280,981,38,21,95,left
99,5,1,10,1,4,4,328,981,59,21,96,hand
100,5,1,10,1,4,5,397,981,46,27,96,sign
101,5,1,10,1,4,6,455,981,18,21,96,in
102,5,1,10,1,4,7,484,981,49,21,96,box.
103,2,1,11,0,0,0,200,1053,1291,69,-1,
104,3,1,11,1,0,0,200,1053,1291,69,-1,
105,4,1,11,1,1,0,200,1053,1291,26,-1,
106,5,1,11,1,1,1,200,1053,103,26,94,Training
107,5,1,11,1,1,2,311,1053,106,20,96,needed?
108,5,1,11,1,1,3,434,1053,54,20,96,Click
109,5,1,11,1,1,4,498,1059,28,14,96,on
110,5,1,11,1,1,5,536,1053,39,20,96,the
111,5,1,11,1,1,6,586,1053,118,20,85,“Tutorial”
112,5,1,11,1,1,7,715,1053,40,20,96,link
113,5,1,11,1,1,8,766,1053,18,20,96,in
114,5,1,11,1,1,9,793,1053,40,20,96,the
115,5,1,11,1,1,10,841,1055,41,24,96,top
116,5,1,11,1,1,11,892,1053,55,26,96,right
117,5,1,11,1,1,12,958,1053,58,20,96,hand
118,5,1,11,1,1,13,1027,1059,79,14,95,corner
119,5,1,11,1,1,14,1115,1053,24,20,96,of
120,5,1,11,1,1,15,1145,1053,40,20,93,the
121,5,1,11,1,1,16,1196,1053,148,26,90,ExpressPAth
122,5,1,11,1,1,17,1356,1053,135,26,96,"homepage,"
123,4,1,11,1,2,0,201,1095,1001,27,-1,
124,5,1,11,1,2,1,201,1095,34,21,96,for
125,5,1,11,1,2,2,244,1095,36,21,96,full
126,5,1,11,1,2,3,290,1102,77,14,96,access
127,5,1,11,1,2,4,375,1098,25,18,96,to
128,5,1,11,1,2,5,410,1095,25,21,96,all
129,5,1,11,1,2,6,445,1095,24,21,96,of
130,5,1,11,1,2,7,476,1095,40,21,96,the
131,5,1,11,1,2,8,524,1095,95,27,95,training
132,5,1,11,1,2,9,627,1095,102,21,96,tutorials
133,5,1,11,1,2,10,738,1102,43,20,96,you
134,5,1,11,1,2,11,792,1098,59,18,96,must
135,5,1,11,1,2,12,862,1095,27,21,95,be
136,5,1,11,1,2,13,900,1095,78,27,95,logged
137,5,1,11,1,2,14,989,1095,46,21,93,into
138,5,1,11,1,2,15,1045,1095,157,27,85,ExpressPAth.
139,2,1,12,0,0,0,201,1163,1240,71,-1,
140,3,1,12,1,0,0,201,1163,1240,71,-1,
141,4,1,12,1,1,0,202,1163,1239,28,-1,
142,5,1,12,1,1,1,202,1165,63,20,96,Need
143,5,1,12,1,1,2,275,1165,126,20,96,additional
144,5,1,12,1,1,3,410,1167,98,24,96,support
145,5,1,12,1,1,4,516,1171,26,14,95,or
146,5,1,12,1,1,5,551,1165,59,20,96,have
147,5,1,12,1,1,6,618,1171,13,14,96,a
148,5,1,12,1,1,7,640,1165,123,26,95,question?
149,5,1,12,1,1,8,780,1165,38,20,92,For
150,5,1,12,1,1,9,827,1165,149,26,92,ExpressPAth
151,5,1,12,1,1,10,985,1163,265,28,91,technical/registration
152,5,1,12,1,1,11,1261,1167,94,24,96,support
153,5,1,12,1,1,12,1366,1165,75,26,96,please
154,4,1,12,1,2,0,201,1208,1047,26,-1,
155,5,1,12,1,2,1,201,1210,90,18,96,contact
